Anatomical Structures,Organ,is_watertight (T/F),number_of_tissue_blocks_registered_total_Lu_collision,number_of_datasets_with_ct_counts_for this_anatomical_structure,dataset_ids,number_of_existing_dataset_ids,existing_dataset_ids
Anatomical Structures,Organ,is_watertight (T/F),number_of_tissue_blocks_registered_total_Lu_collision,number_of_datasets_with_ct_counts_for this_anatomical_structure,dataset_ids,0,
VH_M_lateral_condyle_of_femur_sup_R,VH_M_Knee_R,Yes,0,0,,0,
VH_M_lateral_perichondular_surface_R,VH_M_Knee_R,No,0,0,,0,
VH_M_lateral_epicondylar_enthesis_R,VH_M_Knee_R,No,0,0,,0,
VH_M_meniscus_R,VH_M_Knee_R,Yes,3,6,"HBM535.CKQS.877,HBM438.NWVX.837,HBM837.FPWJ.865,HBM938.GJXR.224,HBM754.PJCB.873,HBM756.PWKH.456",0,
VH_M_posterior_cruciate_enthesis_R,VH_M_Knee_R,No,0,0,,0,
VH_M_medial_epicondylar_enthesis_R,VH_M_Knee_R,No,0,0,,0,
VH_M_medial_perichondular_surface_R,VH_M_Knee_R,No,0,0,,0,
VH_M_femur_R,VH_M_Knee_R,Yes,3,6,"HBM535.CKQS.877,HBM438.NWVX.837,HBM837.FPWJ.865,HBM938.GJXR.224,HBM754.PJCB.873,HBM756.PWKH.456",0,
VH_M_anterior_cruciate_enthesis_R,VH_M_Knee_R,No,0,0,,0,
VH_M_intercondylar_fossa_R,VH_M_Knee_R,No,0,0,,0,
VH_M_patella_R,VH_M_Knee_R,Yes,0,0,,0,
VH_M_lateral_condyle_of_femur_inf_R,VH_M_Knee_R,Yes,1,2,"HBM837.FPWJ.865,HBM754.PJCB.873",0,
VH_M_lateral_condyle_of_femur_frontal_R,VH_M_Knee_R,Yes,1,2,"HBM837.FPWJ.865,HBM754.PJCB.873",0,
VH_M_medial_condyle_of_right_femur_sup,VH_M_Knee_R,Yes,0,0,,0,
VH_M_tibia_R,VH_M_Knee_R,Yes,2,4,"HBM438.NWVX.837,HBM535.CKQS.877,HBM938.GJXR.224,HBM756.PWKH.456",0,
VH_M_fibula_R,VH_M_Knee_R,Yes,0,0,,0,
VH_M_distal_most_point_of_medial_condyle_of_femur_R,VH_M_Knee_R,Yes,2,4,"HBM438.NWVX.837,HBM535.CKQS.877,HBM938.GJXR.224,HBM756.PWKH.456",0,
VH_M_articular_cartilage_of_knee_R,VH_M_Knee_R,No,3,6,"HBM535.CKQS.877,HBM438.NWVX.837,HBM837.FPWJ.865,HBM938.GJXR.224,HBM754.PJCB.873,HBM756.PWKH.456",0,
VH_M_patellar_surface_R,VH_M_Knee_R,No,0,0,,0,
VH_M_medial_condyle_of_right_femur_inf,VH_M_Knee_R,Yes,0,0,,0,
VH_M_medial_perichondular_surface_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_fibula_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_lateral_condyle_of_femur_frontal_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_articular_cartilage_of_knee_L,VH_M_Knee_L,No,1,2,"HBM233.CCCX.767,HBM597.GXTC.432",0,
VH_M_medial_condyle_of_left_femur_sup,VH_M_Knee_L,Yes,0,0,,0,
VH_M_lateral_perichondular_surface_L,VH_M_Knee_L,No,0,0,,0,
VH_M_meniscus_L,VH_M_Knee_L,Yes,1,2,"HBM233.CCCX.767,HBM597.GXTC.432",0,
VH_M_posterior_cruciate_enthesis_L,VH_M_Knee_L,No,0,0,,0,
VH_M_lateral_epicondylar_enthesis_L,VH_M_Knee_L,No,0,0,,0,
VH_M_patellar_surface_L,VH_M_Knee_L,No,0,0,,0,
VH_M_tibia_L,VH_M_Knee_L,Yes,1,2,"HBM233.CCCX.767,HBM597.GXTC.432",0,
VH_M_anterior_cruciate_enthesis_L,VH_M_Knee_L,No,0,0,,0,
VH_M_lateral_condyle_of_femur_inf_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_patella_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_medial_epicondylar_enthesis_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_lateral_condyle_of_femur_sup_L,VH_M_Knee_L,Yes,0,0,,0,
VH_M_distal_most_point_of_medial_condyle_of_femur_L,VH_M_Knee_L,Yes,1,2,"HBM233.CCCX.767,HBM597.GXTC.432",0,
VH_M_medial_condyle_of_left_femur_inf,VH_M_Knee_L,Yes,0,0,,0,
VH_M_intercondylar_fossa_L,VH_M_Knee_L,No,0,0,,0,
VH_M_femur_L,VH_M_Knee_L,Yes,1,2,"HBM233.CCCX.767,HBM597.GXTC.432",0,
VH_M_C7_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C3_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_first_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_seventh_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_eleventh_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_first_lumbar_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fourth_sacral_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_third_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C2_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_third_lumbar_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fourth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_tenth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_twelfth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_second_sacral_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_second_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C8_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_eighth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C5_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C1_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fifth_sacral_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fourth_lumbar_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
