Name_of_organ,Name_of_colliding_AS,Volume_of_colliding_AS,Number_tissue_blocks_colliding_only_with_this_AS,Total_number_colliding_tissue_blocks,Number_of_colliding_tissue_blocks with_no_CT_info,Number of predicted CTs
VH_M_Thymus,VH_M_thymus_lobe_R,1456.7861677208273,3,5,5,0,
VH_M_Thymus,VH_M_thymus_lobe_L,4535.903985965756,5,7,7,0,
VH_M_Heart,VH_M_heart_right_ventricle,86101.69215699525,3,4,4,0,
NIH_M_Lymph_Node,Yao_blood_vasculature,442.38636438691015,0,24,24,0,
NIH_M_Lymph_Node,Yao_follicles,97.32350392933708,0,24,24,0,
NIH_M_Lymph_Node,Yao_medulla_of_lymph_node,360.0180216407668,0,24,24,0,
NIH_M_Lymph_Node,Yao_afferent_lymphatic_vessel,1.7742914281851365,0,24,24,0,
NIH_M_Lymph_Node,Yao_capsule_of_lymph_node,868.3390747818763,0,24,24,0,
NIH_M_Lymph_Node,Yao_paracortex,286.30056529489303,0,24,24,0,
NIH_M_Lymph_Node,Yao_efferent_lymph_node,31.051419366469695,0,24,24,0,
SBU_F_Intestine_Large,VH_F_descending_colon,179064.46386931918,4,4,4,0,
VH_M_Spleen,VH_M_hilum_of_spleen,2303.527843528464,3,4,4,0,
SBU_F_Intestine_Large,VH_F_sigmoid_colon,27671.09408527008,4,4,4,0,
VH_M_Heart,VH_M_heart_left_ventricle,127527.18846614538,13,13,13,0,
VH_M_Spleen,VH_M_diaphragmatic_surface_of_spleen,9471.372565141322,4,6,6,0,
VH_M_Small_Intestine,VH_M_jejunum,411064.34322918736,7,7,7,0,
VH_F_Kidney_L,VH_F_renal_column_L,22460.270723151134,0,14,10,0,
VH_F_Kidney_L,VH_F_hilum_of_kidney_L,2945.852096454865,0,4,4,0,
VH_F_Small_Intestine,VH_F_duodenum_descending,5124.307207277185,6,6,6,0,
SBU_M_Intestine_Large,VH_M_transverse_colon,460283.1992230939,6,6,6,0,
VH_F_Small_Intestine,VH_F_ileum_terminal,5664.2099747343245,0,6,6,0,
VH_F_Small_Intestine,VH_F_ileum,182919.58003069393,0,6,6,0,
VH_F_Small_Intestine,VH_F_duodenum_horizontal,5370.761660549604,0,6,6,0,
VH_F_Small_Intestine,VH_F_duodenum_ascending,2639.229390618533,0,6,6,0,
SBU_M_Intestine_Large,VH_M_ascending_colon,239654.63228467313,7,7,7,0,
VH_F_Small_Intestine,VH_F_jejenum,63865.70054536591,2,2,2,0,
VH_M_Kidney_R,VH_M_outer_cortex_of_kidney_R,119073.08269665076,4,18,16,0,
VH_M_Kidney_R,VH_M_kidney_capsule_R,10669.061978366963,0,12,11,0,
VH_F_Thymus,VH_F_thymus_lobe_R,24971.1777462764,1,3,3,0,
SBU_M_Intestine_Large,VH_M_rectum,65064.28449199108,0,7,7,0,
SBU_M_Intestine_Large,VH_M_sigmoid_colon,102743.96459422776,0,7,7,0,
